,precision,recall,f1-score,support
alt.atheism,0.8522727272727273,0.23510971786833856,0.36855036855036855,319
comp.graphics,0.7073170731707317,0.596401028277635,0.6471408647140865,389
comp.os.ms-windows.misc,0.7901234567901234,0.649746192893401,0.713091922005571,394
comp.sys.ibm.pc.hardware,0.6341991341991342,0.7474489795918368,0.6861826697892272,392
comp.sys.mac.hardware,0.858085808580858,0.6753246753246753,0.7558139534883721,385
comp.windows.x,0.8811881188118812,0.6759493670886076,0.7650429799426935,395
misc.forsale,0.9035369774919614,0.7205128205128205,0.8017118402282454,390
rec.autos,0.7131630648330058,0.9166666666666666,0.8022099447513813,396
rec.motorcycles,0.8402777777777778,0.9120603015075377,0.8746987951807228,398
rec.sport.baseball,0.8644501278772379,0.8513853904282116,0.8578680203045684,397
rec.sport.hockey,0.8980582524271845,0.9273182957393483,0.9124537607891492,399
sci.crypt,0.5163487738419619,0.9570707070707071,0.6707964601769911,396
sci.electronics,0.7803030303030303,0.5241730279898219,0.6270928462709285,393
sci.med,0.8157181571815718,0.76010101010101,0.7869281045751634,396
sci.space,0.8307291666666666,0.8096446700507615,0.8200514138817481,394
soc.religion.christian,0.34416154521510095,0.9849246231155779,0.5100845803513337,398
talk.politics.guns,0.6613995485327314,0.804945054945055,0.7261462205700125,364
talk.politics.mideast,0.9572953736654805,0.7154255319148937,0.8188736681887366,376
talk.politics.misc,1.0,0.16774193548387098,0.28729281767955805,310
talk.religion.misc,1.0,0.01195219123505976,0.023622047244094488,251
macro avg,0.7924314057319584,0.6821951093902918,0.6727826639341477,7532
weighted avg,0.78548015927203,0.7052575677110993,0.6920561650276855,7532
