,precision,recall,f1-score,support
alt.atheism,0.7214285714285714,0.6332288401253918,0.674457429048414,319
comp.graphics,0.5833333333333334,0.7197943444730077,0.6444188722669735,389
comp.os.ms-windows.misc,0.6651480637813212,0.7411167512690355,0.7010804321728691,394
comp.sys.ibm.pc.hardware,0.6658227848101266,0.6709183673469388,0.6683608640406608,392
comp.sys.mac.hardware,0.722488038277512,0.7844155844155845,0.7521793275217933,385
comp.windows.x,0.770949720670391,0.6987341772151898,0.7330677290836652,395
misc.forsale,0.731404958677686,0.9076923076923077,0.8100686498855836,390
rec.autos,0.825065274151436,0.797979797979798,0.8112965340179717,396
rec.motorcycles,0.9077306733167082,0.914572864321608,0.9111389236545681,398
rec.sport.baseball,0.8133333333333334,0.9219143576826196,0.8642266824085005,397
rec.sport.hockey,0.8861985472154964,0.9172932330827067,0.9014778325123153,399
sci.crypt,0.8568075117370892,0.9217171717171717,0.8880778588807786,396
sci.electronics,0.7153024911032029,0.5114503816793893,0.5964391691394658,393
sci.med,0.8802588996763754,0.6868686868686869,0.7716312056737589,396
sci.space,0.8305084745762712,0.8705583756345178,0.8500619578686495,394
soc.religion.christian,0.6844036697247706,0.9371859296482412,0.7910922587486744,398
talk.politics.guns,0.6638297872340425,0.8571428571428571,0.7482014388489208,364
talk.politics.mideast,0.9588607594936709,0.8058510638297872,0.8757225433526012,376
talk.politics.misc,0.8411764705882353,0.4612903225806452,0.5958333333333333,310
talk.religion.misc,0.8118811881188119,0.32669322709163345,0.46590909090909094,251
macro avg,0.7767966275624193,0.7543209320898558,0.7527371066684295,7532
weighted avg,0.7764021744436878,0.766728624535316,0.760823018253135,7532
