,precision,recall,f1-score,support
alt.atheism,0.7163636363636363,0.6175548589341693,0.6632996632996633,319
comp.graphics,0.5637149028077754,0.6709511568123393,0.6126760563380281,389
comp.os.ms-windows.misc,0.6513157894736842,0.7538071065989848,0.6988235294117646,394
comp.sys.ibm.pc.hardware,0.6327543424317618,0.6505102040816326,0.6415094339622641,392
comp.sys.mac.hardware,0.7443037974683544,0.7636363636363637,0.7538461538461538,385
comp.windows.x,0.7297297297297297,0.6835443037974683,0.7058823529411764,395
misc.forsale,0.7088353413654619,0.9051282051282051,0.795045045045045,390
rec.autos,0.7934508816120907,0.7954545454545454,0.7944514501891551,396
rec.motorcycles,0.9086294416243654,0.8994974874371859,0.9040404040404041,398
rec.sport.baseball,0.8059360730593608,0.889168765743073,0.8455089820359281,397
rec.sport.hockey,0.8800959232613909,0.9197994987468672,0.8995098039215687,399
sci.crypt,0.8568019093078759,0.9065656565656566,0.8809815950920246,396
sci.electronics,0.6923076923076923,0.5038167938931297,0.5832106038291605,393
sci.med,0.8438538205980066,0.6414141414141414,0.7288378766140603,396
sci.space,0.8087557603686636,0.8908629441624365,0.8478260869565217,394
soc.religion.christian,0.6752293577981652,0.9246231155778895,0.7804878048780488,398
talk.politics.guns,0.6610169491525424,0.8571428571428571,0.7464114832535885,364
talk.politics.mideast,0.9711538461538461,0.8058510638297872,0.8808139534883721,376
talk.politics.misc,0.8433734939759037,0.45161290322580644,0.588235294117647,310
talk.religion.misc,0.7912087912087912,0.2868525896414343,0.42105263157894735,251
macro avg,0.7639415740034551,0.7408897280911987,0.738622510241976,7532
weighted avg,0.7633292646879747,0.7537174721189591,0.7470951708652561,7532
