,precision,recall,f1-score,support
alt.atheism,0.7702127659574468,0.567398119122257,0.6534296028880865,319
comp.graphics,0.5601577909270217,0.7300771208226221,0.6339285714285715,389
comp.os.ms-windows.misc,0.6923076923076923,0.7309644670050761,0.7111111111111111,394
comp.sys.ibm.pc.hardware,0.7241379310344828,0.5892857142857143,0.6497890295358649,392
comp.sys.mac.hardware,0.8598726114649682,0.7012987012987013,0.7725321888412018,385
comp.windows.x,0.7386666666666667,0.7012658227848101,0.7194805194805194,395
misc.forsale,0.7212121212121212,0.9153846153846154,0.8067796610169492,390
rec.autos,0.8166666666666667,0.8661616161616161,0.8406862745098038,396
rec.motorcycles,0.8869778869778869,0.907035175879397,0.8968944099378882,398
rec.sport.baseball,0.8242280285035629,0.8740554156171285,0.8484107579462102,397
rec.sport.hockey,0.8778801843317973,0.9548872180451128,0.9147659063625451,399
sci.crypt,0.8123620309050773,0.9292929292929293,0.866902237926973,396
sci.electronics,0.8130081300813008,0.5089058524173028,0.6259780907668231,393
sci.med,0.7946666666666666,0.7525252525252525,0.7730220492866406,396
sci.space,0.7946428571428571,0.9035532994923858,0.8456057007125891,394
soc.religion.christian,0.7304526748971193,0.8919597989949749,0.8031674208144797,398
talk.politics.guns,0.6403162055335968,0.8901098901098901,0.7448275862068965,364
talk.politics.mideast,0.8723958333333334,0.8909574468085106,0.8815789473684211,376
talk.politics.misc,0.8922155688622755,0.4806451612903226,0.6247379454926624,310
talk.religion.misc,0.75,0.3705179282868526,0.4959999999999999,251
macro avg,0.778619015673627,0.7578140772812736,0.755481400581712,7532
weighted avg,0.7785283134394487,0.7697822623473181,0.762996798158262,7532
