,precision,recall,f1-score,support
alt.atheism,0.8138801261829653,0.8087774294670846,0.8113207547169811,319
comp.graphics,0.6783216783216783,0.7480719794344473,0.7114914425427873,389
comp.os.ms-windows.misc,0.910958904109589,0.33756345177664976,0.4925925925925926,394
comp.sys.ibm.pc.hardware,0.5887096774193549,0.7448979591836735,0.6576576576576577,392
comp.sys.mac.hardware,0.8761329305135952,0.7532467532467533,0.8100558659217877,385
comp.windows.x,0.6932515337423313,0.8582278481012658,0.7669683257918551,395
misc.forsale,0.890282131661442,0.7282051282051282,0.8011283497884344,390
rec.autos,0.8946015424164524,0.8787878787878788,0.886624203821656,396
rec.motorcycles,0.961038961038961,0.9296482412060302,0.9450830140485313,398
rec.sport.baseball,0.9259259259259259,0.8816120906801007,0.9032258064516129,397
rec.sport.hockey,0.8654708520179372,0.9674185463659147,0.9136094674556213,399
sci.crypt,0.727447216890595,0.9570707070707071,0.8266085059978189,396
sci.electronics,0.8025078369905956,0.6513994910941476,0.7191011235955057,393
sci.med,0.837696335078534,0.8080808080808081,0.8226221079691518,396
sci.space,0.7870967741935484,0.9289340101522843,0.8521536670547148,394
soc.religion.christian,0.8325991189427313,0.949748743718593,0.8873239436619719,398
talk.politics.guns,0.7274725274725274,0.9093406593406593,0.8083028083028082,364
talk.politics.mideast,0.9111675126903553,0.9547872340425532,0.9324675324675324,376
talk.politics.misc,0.7311827956989247,0.6580645161290323,0.6926994906621393,310
talk.religion.misc,0.8840579710144928,0.4860557768924303,0.6272493573264781,251
macro avg,0.8169901176161268,0.7969969626488072,0.793414300891382,7532
weighted avg,0.817027462453608,0.8040361125862985,0.7974904221957355,7532
