,precision,recall,f1-score,support
alt.atheism,0.7945205479452054,0.7272727272727273,0.7594108019639935,319
comp.graphics,0.7796143250688705,0.7275064267352185,0.7526595744680852,389
comp.os.ms-windows.misc,0.7726027397260274,0.7157360406091371,0.7430830039525692,394
comp.sys.ibm.pc.hardware,0.6526548672566371,0.7525510204081632,0.6990521327014217,392
comp.sys.mac.hardware,0.846820809248555,0.7610389610389611,0.8016415868673051,385
comp.windows.x,0.8591160220994475,0.7873417721518987,0.8216644649933948,395
misc.forsale,0.8315217391304348,0.7846153846153846,0.8073878627968337,390
rec.autos,0.8525798525798526,0.8762626262626263,0.8642590286425903,396
rec.motorcycles,0.910411622276029,0.9447236180904522,0.9272503082614058,398
rec.sport.baseball,0.8551068883610451,0.906801007556675,0.8801955990220048,397
rec.sport.hockey,0.8308351177730193,0.9724310776942355,0.8960739030023095,399
sci.crypt,0.7651821862348178,0.9545454545454546,0.849438202247191,396
sci.electronics,0.826797385620915,0.6437659033078881,0.7238912732474966,393
sci.med,0.8702064896755162,0.7449494949494949,0.8027210884353742,396
sci.space,0.7922077922077922,0.9289340101522843,0.855140186915888,394
soc.religion.christian,0.7126654064272212,0.9472361809045227,0.8133764832793959,398
talk.politics.guns,0.6929460580912863,0.9175824175824175,0.7895981087470448,364
talk.politics.mideast,0.9030612244897959,0.9414893617021277,0.921875,376
talk.politics.misc,0.9301075268817204,0.5580645161290323,0.6975806451612904,310
talk.religion.misc,0.9186046511627907,0.3147410358565737,0.46884272997032633,251
macro avg,0.819878162612849,0.7953794518782639,0.793757099233796,7532
weighted avg,0.8173907466274647,0.8074880509824748,0.8013191050731808,7532
