,precision,recall,f1-score,support
alt.atheism,0.8059701492537313,0.677115987460815,0.7359454855195912,319
comp.graphics,0.564870259481038,0.7275064267352185,0.6359550561797753,389
comp.os.ms-windows.misc,0.6781857451403888,0.7969543147208121,0.7327887981330221,394
comp.sys.ibm.pc.hardware,0.678921568627451,0.7066326530612245,0.6925,392
comp.sys.mac.hardware,0.7639902676399026,0.8155844155844156,0.7889447236180905,385
comp.windows.x,0.8195266272189349,0.7012658227848101,0.7557980900409276,395
misc.forsale,0.7634408602150538,0.9102564102564102,0.8304093567251462,390
rec.autos,0.8883116883116883,0.8636363636363636,0.8758002560819462,396
rec.motorcycles,0.9525065963060686,0.907035175879397,0.9292149292149292,398
rec.sport.baseball,0.8106904231625836,0.9168765743073047,0.8605200945626477,397
rec.sport.hockey,0.8846153846153846,0.9223057644110275,0.9030674846625766,399
sci.crypt,0.9215189873417722,0.9191919191919192,0.920353982300885,396
sci.electronics,0.7534246575342466,0.5597964376590331,0.6423357664233577,393
sci.med,0.8963414634146342,0.7424242424242424,0.8121546961325968,396
sci.space,0.8401937046004843,0.8807106598984772,0.8599752168525402,394
soc.religion.christian,0.7332053742802304,0.9597989949748744,0.8313384113166485,398
talk.politics.guns,0.7346491228070176,0.9203296703296703,0.8170731707317074,364
talk.politics.mideast,0.963302752293578,0.8377659574468085,0.8961593172119489,376
talk.politics.misc,0.92,0.5193548387096775,0.663917525773196,310
talk.religion.misc,0.8309859154929577,0.4701195219123506,0.6005089058524173,251
macro avg,0.8102325773868572,0.7877331075692425,0.7892380633666973,7532
weighted avg,0.8090360610079487,0.79753053637812,0.7947686398597197,7532
