,precision,recall,f1-score,support
alt.atheism,0.740625,0.7429467084639498,0.7417840375586855,319
comp.graphics,0.7223719676549866,0.6889460154241646,0.7052631578947369,389
comp.os.ms-windows.misc,0.7302052785923754,0.631979695431472,0.6775510204081632,394
comp.sys.ibm.pc.hardware,0.6794520547945205,0.6326530612244898,0.655217965653897,392
comp.sys.mac.hardware,0.7481108312342569,0.7714285714285715,0.7595907928388747,385
comp.windows.x,0.7309644670050761,0.7291139240506329,0.7300380228136882,395
misc.forsale,0.7184265010351967,0.8897435897435897,0.7949599083619702,390
rec.autos,0.7962529274004684,0.8585858585858586,0.8262454434993924,396
rec.motorcycles,0.8216704288939052,0.914572864321608,0.8656361474435196,398
rec.sport.baseball,0.8353808353808354,0.8564231738035264,0.8457711442786069,397
rec.sport.hockey,0.8688524590163934,0.9298245614035088,0.8983050847457625,399
sci.crypt,0.9098360655737705,0.8409090909090909,0.8740157480314961,396
sci.electronics,0.7632398753894081,0.6234096692111959,0.6862745098039216,393
sci.med,0.7849740932642487,0.7651515151515151,0.7749360613810741,396
sci.space,0.7125748502994012,0.9060913705583756,0.7977653631284917,394
soc.religion.christian,0.8886075949367088,0.8819095477386935,0.8852459016393442,398
talk.politics.guns,0.8128491620111732,0.7994505494505495,0.8060941828254848,364
talk.politics.mideast,0.9232954545454546,0.8643617021276596,0.8928571428571429,376
talk.politics.misc,0.6981132075471698,0.5967741935483871,0.6434782608695653,310
talk.religion.misc,0.6713615023474179,0.5697211155378487,0.6163793103448276,251
macro avg,0.7778582278461383,0.7746998389057345,0.7738704603189321,7532
weighted avg,0.7809863068697958,0.7809346787041954,0.7785701502561986,7532
