,precision,recall,f1-score,support
alt.atheism,0.7554858934169278,0.7554858934169278,0.7554858934169278,319
comp.graphics,0.8,0.7197943444730077,0.7577807848443843,389
comp.os.ms-windows.misc,0.7440191387559809,0.7893401015228426,0.7660098522167489,394
comp.sys.ibm.pc.hardware,0.7527472527472527,0.6989795918367347,0.7248677248677249,392
comp.sys.mac.hardware,0.8567567567567568,0.8233766233766234,0.8397350993377484,385
comp.windows.x,0.8429752066115702,0.7746835443037975,0.8073878627968337,395
misc.forsale,0.847255369928401,0.9102564102564102,0.8776266996291718,390
rec.autos,0.9343832020997376,0.898989898989899,0.9163449163449163,396
rec.motorcycles,0.9387254901960784,0.9623115577889447,0.9503722084367245,398
rec.sport.baseball,0.8810679611650486,0.9143576826196473,0.8974042027194067,397
rec.sport.hockey,0.8736141906873615,0.9874686716791979,0.9270588235294117,399
sci.crypt,0.7974947807933194,0.9646464646464646,0.8731428571428571,396
sci.electronics,0.8494983277591973,0.6463104325699746,0.7341040462427745,393
sci.med,0.8891891891891892,0.8308080808080808,0.8590078328981723,396
sci.space,0.8415178571428571,0.9568527918781726,0.8954869358669834,394
soc.religion.christian,0.7906976744186046,0.9396984924623115,0.8587830080367395,398
talk.politics.guns,0.720682302771855,0.9285714285714286,0.8115246098439376,364
talk.politics.mideast,0.8847117794486216,0.9388297872340425,0.910967741935484,376
talk.politics.misc,0.8910891089108911,0.5806451612903226,0.7031250000000001,310
talk.religion.misc,0.855072463768116,0.4701195219123506,0.6066838046272494,251
macro avg,0.8373491973283885,0.8245763240818592,0.8236449952367098,7532
weighted avg,0.8376974716254956,0.8344397238449283,0.8298894475971405,7532
