,precision,recall,f1-score,support
alt.atheism,0.719626168224299,0.7241379310344828,0.7218749999999999,319
comp.graphics,0.7070707070707071,0.7197943444730077,0.7133757961783439,389
comp.os.ms-windows.misc,0.707196029776675,0.7233502538071066,0.7151819322459223,394
comp.sys.ibm.pc.hardware,0.6955307262569832,0.6352040816326531,0.664,392
comp.sys.mac.hardware,0.800531914893617,0.7818181818181819,0.7910643889618922,385
comp.windows.x,0.8163841807909604,0.7316455696202532,0.7716955941255006,395
misc.forsale,0.8192771084337349,0.8717948717948718,0.84472049689441,390
rec.autos,0.8669950738916257,0.8888888888888888,0.8778054862842892,396
rec.motorcycles,0.9221411192214112,0.9522613065326633,0.9369592088998764,398
rec.sport.baseball,0.8341463414634146,0.8614609571788413,0.8475836431226766,397
rec.sport.hockey,0.8329764453961456,0.974937343358396,0.8983833718244804,399
sci.crypt,0.7936842105263158,0.952020202020202,0.8656716417910447,396
sci.electronics,0.8300395256916996,0.5343511450381679,0.65015479876161,393
sci.med,0.8517520215633423,0.797979797979798,0.8239895697522815,396
sci.space,0.8195991091314031,0.934010152284264,0.8730723606168446,394
soc.religion.christian,0.7706611570247934,0.9371859296482412,0.8458049886621316,398
talk.politics.guns,0.7006369426751592,0.9065934065934066,0.7904191616766466,364
talk.politics.mideast,0.8629441624365483,0.9042553191489362,0.8831168831168831,376
talk.politics.misc,0.9010416666666666,0.5580645161290323,0.6892430278884463,310
talk.religion.misc,0.8174603174603174,0.4103585657370518,0.5464190981432361,251
macro avg,0.803484746429791,0.7900056382359224,0.7875268224473259,7532
weighted avg,0.8034244340967559,0.800185873605948,0.7939400650639993,7532
