,precision,recall,f1-score,support
alt.atheism,0.7903225806451613,0.768025078369906,0.779014308426073,319
comp.graphics,0.6674418604651163,0.7377892030848329,0.7008547008547009,389
comp.os.ms-windows.misc,0.2,0.0025380710659898475,0.005012531328320802,394
comp.sys.ibm.pc.hardware,0.5576208178438662,0.7653061224489796,0.6451612903225807,392
comp.sys.mac.hardware,0.8376811594202899,0.7506493506493507,0.7917808219178082,385
comp.windows.x,0.6509803921568628,0.8405063291139241,0.7337016574585636,395
misc.forsale,0.933579335793358,0.6487179487179487,0.7655068078668684,390
rec.autos,0.8674698795180723,0.9090909090909091,0.8877928483353884,396
rec.motorcycles,0.9630606860158312,0.9170854271356784,0.9395109395109394,398
rec.sport.baseball,0.9636871508379888,0.8690176322418136,0.9139072847682119,397
rec.sport.hockey,0.927710843373494,0.9649122807017544,0.9459459459459459,399
sci.crypt,0.6672566371681415,0.952020202020202,0.7845993756503642,396
sci.electronics,0.7933130699088146,0.6641221374045801,0.7229916897506925,393
sci.med,0.8736559139784946,0.8207070707070707,0.8463541666666665,396
sci.space,0.8317535545023697,0.8908629441624365,0.8602941176470587,394
soc.religion.christian,0.6983546617915904,0.9597989949748744,0.8084656084656084,398
talk.politics.guns,0.6947368421052632,0.9065934065934066,0.7866507747318235,364
talk.politics.mideast,0.8489208633093526,0.9414893617021277,0.8928121059268601,376
talk.politics.misc,0.582089552238806,0.6290322580645161,0.6046511627906976,310
talk.religion.misc,0.8936170212765957,0.3346613545816733,0.4869565217391304,251
macro avg,0.7621626411174734,0.7636463041415988,0.745098233005215,7532
weighted avg,0.7616683207318354,0.7728359001593202,0.7511127577441177,7532
