,precision,recall,f1-score,support
alt.atheism,0.8019323671497585,0.5203761755485894,0.6311787072243347,319
comp.graphics,0.8102893890675241,0.6478149100257069,0.7199999999999999,389
comp.os.ms-windows.misc,0.819047619047619,0.6548223350253807,0.7277856135401973,394
comp.sys.ibm.pc.hardware,0.6718061674008811,0.7780612244897959,0.7210401891252954,392
comp.sys.mac.hardware,0.8563218390804598,0.7740259740259741,0.8130968622100956,385
comp.windows.x,0.8895522388059701,0.7544303797468355,0.8164383561643835,395
misc.forsale,0.9312714776632303,0.6948717948717948,0.7958883994126286,390
rec.autos,0.8465116279069768,0.9191919191919192,0.8813559322033898,396
rec.motorcycles,0.9368686868686869,0.9321608040201005,0.9345088161209069,398
rec.sport.baseball,0.9224806201550387,0.8992443324937027,0.9107142857142857,397
rec.sport.hockey,0.8917050691244239,0.9699248120300752,0.929171668667467,399
sci.crypt,0.5937984496124031,0.9671717171717171,0.7358309317963497,396
sci.electronics,0.8362989323843416,0.5979643765903307,0.6973293768545993,393
sci.med,0.9211356466876972,0.7373737373737373,0.8190743338008415,396
sci.space,0.841726618705036,0.8908629441624365,0.8655980271270036,394
soc.religion.christian,0.43896976483762595,0.9849246231155779,0.6072811773818745,398
talk.politics.guns,0.6433962264150943,0.9368131868131868,0.7628635346756152,364
talk.politics.mideast,0.9297297297297298,0.9148936170212766,0.9222520107238605,376
talk.politics.misc,0.9555555555555556,0.4161290322580645,0.5797752808988764,310
talk.religion.misc,0.9722222222222222,0.1394422310756972,0.2439024390243902,251
macro avg,0.8255310124210137,0.756525006352595,0.7557542971333199,7532
weighted avg,0.8218781741893993,0.7738980350504514,0.7684457156894653,7532
