,precision,recall,f1-score,support
alt.atheism,0.7838827838827839,0.670846394984326,0.7229729729729728,319
comp.graphics,0.7157894736842105,0.699228791773779,0.7074122236671002,389
comp.os.ms-windows.misc,0.7713498622589532,0.7106598984771574,0.7397622192866578,394
comp.sys.ibm.pc.hardware,0.6457399103139013,0.7346938775510204,0.6873508353221958,392
comp.sys.mac.hardware,0.8223495702005731,0.7454545454545455,0.7820163487738421,385
comp.windows.x,0.8510028653295129,0.7518987341772152,0.7983870967741935,395
misc.forsale,0.8373333333333334,0.8051282051282052,0.8209150326797386,390
rec.autos,0.8333333333333334,0.8838383838383839,0.857843137254902,396
rec.motorcycles,0.8732394366197183,0.9346733668341709,0.9029126213592233,398
rec.sport.baseball,0.8408551068883611,0.8916876574307305,0.8655256723716382,397
rec.sport.hockey,0.8166311300639659,0.9598997493734336,0.8824884792626728,399
sci.crypt,0.7406679764243614,0.952020202020202,0.8331491712707181,396
sci.electronics,0.7920792079207921,0.6106870229007634,0.6896551724137931,393
sci.med,0.8757763975155279,0.7121212121212122,0.7855153203342619,396
sci.space,0.787746170678337,0.9137055837563451,0.8460634547591069,394
soc.religion.christian,0.670774647887324,0.957286432160804,0.7888198757763977,398
talk.politics.guns,0.654296875,0.9203296703296703,0.7648401826484018,364
talk.politics.mideast,0.9122340425531915,0.9122340425531915,0.9122340425531915,376
talk.politics.misc,0.95625,0.4935483870967742,0.6510638297872341,310
talk.religion.misc,0.9444444444444444,0.20318725099601595,0.3344262295081967,251
macro avg,0.8062888284166313,0.7731564704478974,0.7686676959388219,7532
weighted avg,0.8026360109250017,0.7877057886351566,0.7786251814635053,7532
