,precision,recall,f1-score,support
alt.atheism,0.8421052631578947,0.050156739811912224,0.09467455621301775,319
comp.graphics,0.7407407407407407,0.10282776349614396,0.18058690744920994,389
comp.os.ms-windows.misc,0.2756183745583039,0.39593908629441626,0.325,394
comp.sys.ibm.pc.hardware,0.46153846153846156,0.2755102040816326,0.3450479233226837,392
comp.sys.mac.hardware,0.35135135135135137,0.033766233766233764,0.061611374407582936,385
comp.windows.x,0.5967213114754099,0.4607594936708861,0.52,395
misc.forsale,0.19722425127830534,0.6923076923076923,0.3069926094371802,390
rec.autos,0.5808383233532934,0.4898989898989899,0.5315068493150685,396
rec.motorcycles,0.2723449001051525,0.6507537688442211,0.38398813936249077,398
rec.sport.baseball,0.673469387755102,0.4156171284634761,0.514018691588785,397
rec.sport.hockey,0.5491949910554562,0.7694235588972431,0.640918580375783,399
sci.crypt,0.59375,0.8156565656565656,0.6872340425531914,396
sci.electronics,0.32,0.020356234096692113,0.03827751196172249,393
sci.med,0.6377551020408163,0.31565656565656564,0.4222972972972973,396
sci.space,0.6210762331838565,0.7030456852791879,0.6595238095238095,394
soc.religion.christian,0.3709677419354839,0.8090452261306532,0.5086887835703001,398
talk.politics.guns,0.6211031175059952,0.7115384615384616,0.6632522407170295,364
talk.politics.mideast,0.8126721763085399,0.7845744680851063,0.7983761840324763,376
talk.politics.misc,0.0,0.0,0.0,310
talk.religion.misc,0.0,0.0,0.0,251
macro avg,0.4759235863672083,0.42484169329880406,0.38409977505638143,7532
weighted avg,0.48546494625503683,0.44065321295804566,0.39750968528115393,7532
