,precision,recall,f1-score,support
alt.atheism,0.8064516129032258,0.7053291536050157,0.7525083612040133,319
comp.graphics,0.5702970297029702,0.7403598971722365,0.6442953020134229,389
comp.os.ms-windows.misc,0.7006802721088435,0.7842639593908629,0.7401197604790418,394
comp.sys.ibm.pc.hardware,0.6860158311345647,0.6632653061224489,0.6744487678339818,392
comp.sys.mac.hardware,0.769620253164557,0.7896103896103897,0.7794871794871795,385
comp.windows.x,0.8242424242424242,0.6886075949367089,0.7503448275862068,395
misc.forsale,0.7053045186640472,0.9205128205128205,0.7986651835372638,390
rec.autos,0.8567708333333334,0.8308080808080808,0.8435897435897436,396
rec.motorcycles,0.9285714285714286,0.914572864321608,0.9215189873417722,398
rec.sport.baseball,0.7925764192139738,0.9143576826196473,0.849122807017544,397
rec.sport.hockey,0.891566265060241,0.9273182957393483,0.9090909090909091,399
sci.crypt,0.9088669950738916,0.9318181818181818,0.9201995012468827,396
sci.electronics,0.7839721254355401,0.5725190839694656,0.6617647058823529,393
sci.med,0.8984615384615384,0.7373737373737373,0.80998613037448,396
sci.space,0.8553921568627451,0.8857868020304569,0.8703241895261846,394
soc.religion.christian,0.7351247600767754,0.9623115577889447,0.8335146898803046,398
talk.politics.guns,0.7114093959731543,0.8736263736263736,0.784217016029593,364
talk.politics.mideast,0.9666666666666667,0.848404255319149,0.9036827195467422,376
talk.politics.misc,0.8534031413612565,0.5258064516129032,0.6506986027944112,310
talk.religion.misc,0.8076923076923077,0.41832669322709165,0.5511811023622046,251
macro avg,0.8026542987851742,0.7817489590802736,0.7824380243412117,7532
weighted avg,0.8023621023515733,0.7920870950610728,0.7886977952954654,7532
