,precision,recall,f1-score,support
alt.atheism,0.7509025270758123,0.6520376175548589,0.697986577181208,319
comp.graphics,0.6029106029106029,0.7455012853470437,0.6666666666666667,389
comp.os.ms-windows.misc,0.7364620938628159,0.5177664974619289,0.6080476900149031,394
comp.sys.ibm.pc.hardware,0.6094808126410836,0.6887755102040817,0.6467065868263474,392
comp.sys.mac.hardware,0.8366666666666667,0.6519480519480519,0.7328467153284671,385
comp.windows.x,0.8148148148148148,0.7240506329113924,0.7667560321715818,395
misc.forsale,0.7438202247191011,0.8487179487179487,0.792814371257485,390
rec.autos,0.8668555240793201,0.7727272727272727,0.8170894526034712,396
rec.motorcycles,0.8130630630630631,0.907035175879397,0.8574821852731591,398
rec.sport.baseball,0.7882882882882883,0.8816120906801007,0.8323424494649228,397
rec.sport.hockey,0.8920863309352518,0.9323308270676691,0.9117647058823529,399
sci.crypt,0.8306264501160093,0.9040404040404041,0.8657799274486095,396
sci.electronics,0.7081081081081081,0.6666666666666666,0.6867627785058977,393
sci.med,0.7900262467191601,0.76010101010101,0.7747747747747746,396
sci.space,0.8365853658536585,0.8705583756345178,0.8532338308457712,394
soc.religion.christian,0.7617977528089888,0.8517587939698492,0.8042704626334519,398
talk.politics.guns,0.7574850299401198,0.695054945054945,0.7249283667621776,364
talk.politics.mideast,0.9647058823529412,0.6542553191489362,0.779714738510301,376
talk.politics.misc,0.5825242718446602,0.5806451612903226,0.5815831987075929,310
talk.religion.misc,0.42191780821917807,0.6135458167330677,0.5,251
macro avg,0.7554563932509822,0.7459564701569732,0.7450775755429571,7532
weighted avg,0.7635144469581859,0.7521242697822623,0.7523939346262882,7532
