,precision,recall,f1-score,support
alt.atheism,0.7313915857605178,0.7084639498432602,0.7197452229299365,319
comp.graphics,0.7799442896935933,0.7197943444730077,0.7486631016042781,389
comp.os.ms-windows.misc,0.7274881516587678,0.7791878172588832,0.7524509803921567,394
comp.sys.ibm.pc.hardware,0.7394957983193278,0.673469387755102,0.7049399198931909,392
comp.sys.mac.hardware,0.8075949367088607,0.8285714285714286,0.8179487179487179,385
comp.windows.x,0.844632768361582,0.7569620253164557,0.7983978638184246,395
misc.forsale,0.8413461538461539,0.8974358974358975,0.8684863523573202,390
rec.autos,0.9125964010282777,0.8964646464646465,0.9044585987261147,396
rec.motorcycles,0.9297820823244553,0.964824120603015,0.9469790382244142,398
rec.sport.baseball,0.8839506172839506,0.9017632241813602,0.8927680798004988,397
rec.sport.hockey,0.8777777777777778,0.9899749373433584,0.9305064782096585,399
sci.crypt,0.8388520971302428,0.9595959595959596,0.895170789163722,396
sci.electronics,0.825938566552901,0.6157760814249363,0.705539358600583,393
sci.med,0.8740359897172236,0.8585858585858586,0.8662420382165605,396
sci.space,0.8407079646017699,0.9644670050761421,0.8983451536643027,394
soc.religion.christian,0.7550200803212851,0.9447236180904522,0.8392857142857142,398
talk.politics.guns,0.700836820083682,0.9203296703296703,0.7957244655581948,364
talk.politics.mideast,0.9023136246786633,0.9335106382978723,0.9176470588235294,376
talk.politics.misc,0.8900523560209425,0.5483870967741935,0.6786427145708583,310
talk.religion.misc,0.85,0.4063745019920319,0.5498652291105122,251
macro avg,0.8276879030934987,0.8134331104706766,0.8115903437949343,7532
weighted avg,0.8280380138303584,0.8248805098247477,0.8190701989313807,7532
